Boston Celtics,Brooklyn Nets,Atlanta Hawks,Washington Wizards,Charlotte Hornets,Orlando Magic,Miami Heat,Golden State Warriors,Los Angeles Clippers,Sacremento Kings,Phoenix Suns,Los Angeles Lakers,San Antonio Spurs,Memphis Grizzlies,Houston Rockets,Dallas Mavericks,New Orleans Pelicans,Utah Jazz,Portland Trail Blazers,Oklahoma City Thunder,Minnesota Timberwolves,Denver Nuggets,Philadelphia 76ers,Toronto Raptors,New York Knicks,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Milwaukee Bucks,Chicago Bulls
Jaren Jackson Jr.,Memphis Grizzlies,13.8,4.7,1.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jarell Martin,Orlando Magic,2.7,1.7,0.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jared Terrell,Minnesota Timberwolves,2.2,0.4,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Briscoe,Orlando Magic,3.5,1.9,2.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Canaan,Milwaukee Bucks,6,1.9,2.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Hartenstein,Houston Rockets,1.9,1.7,0.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Hicks,New York Knicks,4,2.3,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Thomas,Denver Nuggets,8.1,1.1,1.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ish Smith,Detroit Pistons,8.9,2.6,3.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Rabb,Memphis Grizzlies,5.8,4.2,1.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ivica Zubac,Los Angeles Clippers,8.9,6.1,1.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
J.J. Barea,Dallas Mavericks,10.9,2.5,5.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
J.P. Macura,Charlotte Hornets,3,1.5,1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
JJ Redick,Philadelphia 76ers,18.1,2.4,2.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
JR Smith,Cleveland Cavaliers,6.7,1.6,1.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
JaKarr Sampson,Chicago Bulls,20,8,1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
JaMychal Green,Los Angeles Clippers,9.4,6.3,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Domantas Sabonis,Indiana Pacers,14.1,9.3,2.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
JaVale McGee,Los Angeles Lakers,12,7.5,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Evans,Golden State Warriors,1.3,0.8,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jae Crowder,Utah Jazz,11.9,4.8,1.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jahlil Okafor,New Orleans Pelicans,8.2,4.7,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jake Layman,Portland Trail Blazers,7.6,3.1,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jakob Poeltl,San Antonio Spurs,5.5,5.3,1.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Brunson,Dallas Mavericks,9.3,2.3,3.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Jones,Cleveland Cavaliers,5.1,2.1,0.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Crawford,Phoenix Suns,7.9,1.3,3.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Murray,Denver Nuggets,18.2,4.2,4.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
James Ennis III,Philadelphia 76ers,6.7,3.1,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,Houston Rockets,36.1,6.6,7.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
James Johnson,Miami Heat,7.8,3.2,2.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
James Nunnally,Houston Rockets,2.4,0.3,0.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jared Dudley,Brooklyn Nets,4.9,2.6,1.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Jabari Parker,Washington Wizards,14.5,6.6,2.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
John Jenkins,New York Knicks,4.7,1.4,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Dirk Nowitzki,Dallas Mavericks,7.3,3.1,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Dillon Brooks,Memphis Grizzlies,7.5,1.7,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
BJ Johnson,Sacramento Kings,3.3,1.1,0,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Bam Adebayo,Miami Heat,8.9,7.3,2.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ben McLemore,Sacramento Kings,3.9,0.9,0.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ben Simmons,Philadelphia 76ers,16.9,8.8,7.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Billy Garrett,New York Knicks,6.5,0.8,1.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Bismack Biyombo,Charlotte Hornets,4.4,4.6,0.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Blake Griffin,Detroit Pistons,24.5,7.5,5.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Boban Marjanovic,Philadelphia 76ers,7.3,4.6,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Portis,Washington Wizards,14.2,8.1,1.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Bogdan Bogdanovic,Sacramento Kings,14.1,3.5,3.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Bojan Bogdanovic,Indiana Pacers,18,4.1,2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Bonzie Colson,Milwaukee Bucks,4.9,3.8,0.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Brad Wanamaker,Boston Celtics,3.9,1.1,1.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Bradley Beal,Washington Wizards,25.6,5,5.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Goodwin,Denver Nuggets,1.4,0.2,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Ingram,Los Angeles Lakers,18.3,5.1,3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Knight,Cleveland Cavaliers,6.8,1.5,1.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Sampson,Chicago Bulls,5.1,1.1,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Brook Lopez,Milwaukee Bucks,12.5,4.9,1.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Brown,Detroit Pistons,4.3,2.5,1.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Caboclo,Memphis Grizzlies,8.3,4.6,1.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Bryn Forbes,San Antonio Spurs,11.8,2.9,2.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Buddy Hield,Sacramento Kings,20.7,5,2.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Williams,Minnesota Timberwolves,2.6,0.5,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
CJ McCollum,Portland Trail Blazers,21,4,3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
CJ Miles,Memphis Grizzlies,6.4,1.8,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Swanigan,Sacramento Kings,2,3,0.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Payne,Cleveland Cavaliers,6.3,1.8,2.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Reynolds,Minnesota Timberwolves,5,1.6,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Avery Bradley,Memphis Grizzlies,9.9,2.8,2.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Caris LeVert,Brooklyn Nets,13.7,3.8,3.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Austin Rivers,Houston Rockets,8.1,2.1,2.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Blakeney,Chicago Bulls,7.3,1.9,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Zhaire Smith,Philadelphia 76ers,6.7,2.2,1.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Gordon,Orlando Magic,16,7.4,3.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Holiday,Indiana Pacers,5.9,1.3,1.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Abdel Nader,Oklahoma City Thunder,4,1.9,0.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Al Horford,Boston Celtics,13.6,6.7,4.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Al-Farouq Aminu,Portland Trail Blazers,9.4,7.5,1.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Alan Williams,Brooklyn Nets,3.6,3.8,0.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Alec Burks,Sacramento Kings,8.8,3.7,2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Alex Abrines,Oklahoma City Thunder,5.3,1.5,0.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Alex Caruso,Los Angeles Lakers,9.2,2.7,3.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Alex Len,Atlanta Hawks,11.1,5.5,1.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Alex Poythress,Atlanta Hawks,5.1,3.6,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Alfonzo McKinnie,Golden State Warriors,4.7,3.4,0.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Alize Johnson,Indiana Pacers,0.9,1.4,0.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Allen Crabbe,Brooklyn Nets,9.6,3.4,1.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Allonzo Trier,New York Knicks,10.9,3.1,1.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Amile Jefferson,Orlando Magic,2.3,1.8,0.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Amir Johnson,Philadelphia 76ers,3.9,2.9,1.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Andre Drummond,Detroit Pistons,17.3,15.6,1.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Andre Iguodala,Golden State Warriors,5.7,3.7,3.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Andre Ingram,Los Angeles Lakers,0,0.5,0,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Bogut,Golden State Warriors,3.5,5,1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Harrison,New Orleans Pelicans,3.2,1.2,1.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,Minnesota Timberwolves,18.1,4.8,2.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Anfernee Simons,Portland Trail Blazers,3.8,0.7,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Angel Delgado,Los Angeles Clippers,1.5,2,0,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ante Zizic,Cleveland Cavaliers,7.8,5.4,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,New Orleans Pelicans,25.9,12,3.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Tolliver,Minnesota Timberwolves,5,2.7,0.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Aron Baynes,Boston Celtics,5.6,4.7,1.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,Houston Rockets,13.4,5.4,0.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Cedi Osman,Cleveland Cavaliers,13,4.7,2.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Chandler Hutchison,Chicago Bulls,5.2,4.2,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Darren Collison,Indiana Pacers,11.2,3.1,6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
David Nwaba,Cleveland Cavaliers,6.5,3.2,1.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Davis Bertans,San Antonio Spurs,8,3.5,1.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Davon Reed,Indiana Pacers,1.2,0.6,0.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
De'Aaron Fox,Sacramento Kings,17.3,3.8,7.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
De'Anthony Melton,Phoenix Suns,5,2.7,3.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Jordan,New York Knicks,11,13.1,2.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre' Bembry,Atlanta Hawks,8.4,4.4,2.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
DeMar DeRozan,San Antonio Spurs,21.2,6,6.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
DeMarcus Cousins,Golden State Warriors,16.3,8.2,3.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
DeMarre Carroll,Brooklyn Nets,11.1,5.2,1.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
DeVaughn Akoon-Purcell,Denver Nuggets,1,0.6,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Deandre Ayton,Phoenix Suns,16.3,10.3,1.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Delon Wright,Memphis Grizzlies,8.7,3.5,3.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Demetrius Jackson,Philadelphia 76ers,3.7,0.5,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Deng Adel,Cleveland Cavaliers,1.7,1,0.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Schroder,Oklahoma City Thunder,15.5,3.6,4.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Smith Jr.,New York Knicks,13.6,2.9,4.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Deonte Burton,Oklahoma City Thunder,2.6,0.9,0.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Favors,Utah Jazz,11.8,7.4,1.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Jones Jr.,Miami Heat,7,4,0.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Rose,Minnesota Timberwolves,18,2.7,4.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Derrick White,San Antonio Spurs,9.9,3.7,3.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Devin Booker,Phoenix Suns,26.6,4.1,6.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Devin Harris,Dallas Mavericks,6.3,1.6,1.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Devin Robinson,Washington Wizards,6.7,2.9,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Devonte' Graham,Charlotte Hornets,4.7,1.4,2.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Dewayne Dedmon,Atlanta Hawks,10.8,7.5,1.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Deyonta Davis,Atlanta Hawks,4,4,0.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Darius Miller,New Orleans Pelicans,8.2,1.9,2.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Dario Saric,Minnesota Timberwolves,10.6,5.6,1.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Danuel House Jr.,Houston Rockets,9.4,3.6,1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Dante Exum,Utah Jazz,6.9,1.6,2.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Chandler Parsons,Memphis Grizzlies,7.5,2.8,1.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Channing Frye,Cleveland Cavaliers,3.6,1.4,0.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Chasson Randle,Washington Wizards,5.5,1.1,2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Cheick Diallo,New Orleans Pelicans,6,5.2,0.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Chimezie Metu,San Antonio Spurs,1.8,1.2,0.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Chris Boucher,Toronto Raptors,3.3,2,0.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Chris Chiozza,Houston Rockets,0.9,0.6,0.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Chris Paul,Houston Rockets,15.6,4.6,8.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Christian Wood,New Orleans Pelicans,8.2,4,0.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Clint Capela,Houston Rockets,16.6,12.7,1.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Cody Zeller,Charlotte Hornets,10.1,6.8,2.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Collin Sexton,Cleveland Cavaliers,16.7,2.9,3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Corey Brewer,Sacramento Kings,4.9,2.5,1.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Cory Joseph,Indiana Pacers,6.5,3.4,3.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Dion Waiters,Miami Heat,12,2.6,2.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Courtney Lee,Dallas Mavericks,4,1.6,1.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
D'Angelo Russell,Brooklyn Nets,21.1,3.9,7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Augustin,Orlando Magic,11.7,2.5,5.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Wilson,Milwaukee Bucks,5.8,4.6,1.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
DJ Stephens,Memphis Grizzlies,2,0,0,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Dairis Bertans,New Orleans Pelicans,2.8,0.8,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Damian Jones,Golden State Warriors,5.4,3.1,1.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,Portland Trail Blazers,25.8,4.6,6.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Damion Lee,Golden State Warriors,4.9,2,0.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Damyean Dotson,New York Knicks,10.7,3.6,1.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Hamilton,Atlanta Hawks,3,2.5,1.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Theis,Boston Celtics,5.7,3.4,1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Danilo Gallinari,Los Angeles Clippers,19.8,6.1,2.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Danny Green,Toronto Raptors,10.3,4,1.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Dante Cunningham,San Antonio Spurs,3,2.9,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Felicio,Chicago Bulls,4,3.6,0.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
John Wall,Washington Wizards,20.7,3.6,8.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Macon,Dallas Mavericks,3.6,1.5,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Johnathan Williams,Los Angeles Lakers,6.5,4.1,0.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gobert,Utah Jazz,15.9,12.9,2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Russell Westbrook,Oklahoma City Thunder,22.9,11.1,10.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Anderson,Miami Heat,2.5,2.2,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Arcidiacono,Chicago Bulls,6.7,2.7,3.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Broekhoff,Dallas Mavericks,4,1.5,0.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Salah Mejri,Dallas Mavericks,3.9,3.6,1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Sam Dekker,Washington Wizards,6.1,3.1,1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Scott Machado,Los Angeles Lakers,2.5,0,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Semi Ojeleye,Boston Celtics,3.3,1.5,0.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Serge Ibaka,Toronto Raptors,15,8.1,1.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Seth Curry,Portland Trail Blazers,7.9,1.6,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Shabazz Napier,Brooklyn Nets,9.4,1.8,2.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Shai Gilgeous-Alexander,Los Angeles Clippers,10.8,2.8,3.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Shake Milton,Philadelphia 76ers,4.4,1.8,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Shaquille Harrison,Chicago Bulls,6.5,3,1.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Shaun Livingston,Golden State Warriors,4,1.8,1.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Shelvin Mack,Charlotte Hornets,7.5,1.8,3.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Sindarius Thornwell,Los Angeles Clippers,1,0.7,0.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Skal Labissiere,Portland Trail Blazers,3,2,0.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Hill,New Orleans Pelicans,4.3,3,1.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Dinwiddie,Brooklyn Nets,16.8,2.4,4.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Johnson,New Orleans Pelicans,6.9,3.3,1.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Curry,Golden State Warriors,27.3,5.3,5.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Brown,Milwaukee Bucks,6.4,3.2,1.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Steven Adams,Oklahoma City Thunder,13.9,9.5,1.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Svi Mykhailiuk,Detroit Pistons,3.2,0.9,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
T.J. McConnell,Philadelphia 76ers,6.4,2.3,3.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Warren,Phoenix Suns,18,4,1.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
TJ Leaf,Indiana Pacers,3.9,2.2,0.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gay,San Antonio Spurs,13.7,6.8,2.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Tahjere McCall,Brooklyn Nets,4,1,0,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Royce O'Neale,Utah Jazz,5.2,3.5,1.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ron Baker,Washington Wizards,0.9,0.7,1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
PJ Dozier,Boston Celtics,3.2,2.8,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Pascal Siakam,Toronto Raptors,16.9,6.9,3.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Pat Connaughton,Milwaukee Bucks,6.9,4.2,2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Beverley,Los Angeles Clippers,7.6,5,3.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Patrick McCaw,Toronto Raptors,2.6,1.7,1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Patterson,Oklahoma City Thunder,3.6,2.3,0.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Patty Mills,San Antonio Spurs,9.9,2.2,3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Pau Gasol,Milwaukee Bucks,3.9,4.6,1.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Paul George,Oklahoma City Thunder,28,8.2,4.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Paul Millsap,Denver Nuggets,12.6,7.2,2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Acy,Phoenix Suns,1.7,2.5,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Pondexter,San Antonio Spurs,1.8,0.9,0.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Quinn Cook,Golden State Warriors,6.9,2.1,1.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
RJ Hunter,Boston Celtics,17,3,3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Rajon Rondo,Los Angeles Lakers,9.2,5.3,8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Raul Neto,Utah Jazz,5.3,1.7,2.5,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Rawle Alkins,Chicago Bulls,3.7,2.6,1.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ray Spalding,Phoenix Suns,3.9,3.4,0.4,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Felton,Oklahoma City Thunder,4.3,1,1.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Bullock,Los Angeles Lakers,11.3,2.7,2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Jackson,Detroit Pistons,15.4,2.6,4.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Richaun Holmes,Phoenix Suns,8.2,4.7,0.9,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Rubio,Utah Jazz,12.7,3.6,6.1,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Robert Covington,Minnesota Timberwolves,13.3,5.5,1.3,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Robert Williams III,Boston Celtics,2.5,2.5,0.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Robin Lopez,Chicago Bulls,9.5,3.9,1.2,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Rodions Kurucs,Brooklyn Nets,8.5,3.9,0.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Hood,Portland Trail Blazers,11.2,2.2,1.8,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Rodney McGruder,Los Angeles Clippers,7.6,3.6,1.7,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
Rondae Hollis-Jefferson,Brooklyn Nets,8.9,5.3,1.6,2018-19,,,,,,,,,,,,,,,,,,,,,,,,
