Boston Celtics,Brooklyn Nets,Atlanta Hawks,Washington Wizards,Charlotte Hornets,Orlando Magic,Miami Heat,Golden State Warriors,Los Angeles Clippers,Sacremento Kings,Phoenix Suns,Los Angeles Lakers,San Antonio Spurs,Memphis Grizzlies,Houston Rockets,Dallas Mavericks,New Orleans Pelicans,Utah Jazz,Portland Trail Blazers,Oklahoma City Thunder,Minnesota Timberwolves,Denver Nuggets,Philadelphia 76ers,Toronto Raptors,New York Knicks,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Milwaukee Bucks,Chicago Bulls
Bruce Bowen,Miami Heat,0,0,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Bryant Reeves,Memphis Grizzlies,16.2,8.1,2.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Bryant Stith,Denver Nuggets,14.9,4.2,2.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Bryon Russell,Utah Jazz,10.8,4.1,1.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Buck Williams,New York Knicks,6.3,5.4,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Byron Scott,Los Angeles Lakers,6.7,1.5,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Calbert Cheaney,Washington Wizards,10.6,3.4,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Carl Herrera,San Antonio Spurs,8,4.5,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Carl Thomas,Cleveland Cavaliers,1.1,0.7,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Rogers,Toronto Raptors,9.8,5.4,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Ceballos,Phoenix Suns,14.6,6.6,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Charles Barkley,Houston Rockets,19.2,13.5,4.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Charles Jones,Houston Rockets,0.3,1.1,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Charles Oakley,New York Knicks,10.8,9.8,2.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Charles Smith,San Antonio Spurs,4.6,3.4,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Ward,New York Knicks,5.2,2.8,4.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee Parks,Minnesota Timberwolves,3.3,2.6,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Damon Stoudamire,Toronto Raptors,20.2,4.1,8.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dan Majerle,Miami Heat,10.8,4.5,3.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dan Schayes,Orlando Magic,3,2.8,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dana Barros,Boston Celtics,12.5,2,3.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dexter Boney,Phoenix Suns,2.4,0.8,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dickey Simpkins,Chicago Bulls,1.9,1.9,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dikembe Mutombo,Atlanta Hawks,13.3,11.6,1.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dino Radja,Boston Celtics,14,8.4,1.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dominique Wilkins,San Antonio Spurs,18.2,6.4,1.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Don MacLean,Philadelphia 76ers,10.9,3.8,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Don Reid,Detroit Pistons,2.8,2.1,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Donald Royal,Charlotte Hornets,3.5,2.5,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Donald Whiteside,Toronto Raptors,2.2,0.4,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Donnie Boyce,Atlanta Hawks,2.5,0.7,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Donny Marshall,Cleveland Cavaliers,3.1,1.3,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dontonio Wingfield,Portland Trail Blazers,4.5,2.9,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Donyell Marshall,Golden State Warriors,7.3,4.5,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Doug Christie,Toronto Raptors,14.5,5.3,3.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Doug Overton,Philadelphia 76ers,3.6,1.1,1.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Doug West,Minnesota Timberwolves,7.8,2.2,1.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Duane Causwell,Sacramento Kings,2.6,2.8,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Duane Ferrell,Indiana Pacers,6.4,2.3,1.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Schintzius,Los Angeles Clippers,2.3,1.5,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Earl Cureton,Toronto Raptors,0.8,1,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ed O'Bannon,Dallas Mavericks,3.7,2.3,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Devin Gray,San Antonio Spurs,3,2.3,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Jud Buechler,Chicago Bulls,1.8,1.7,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Detlef Schrempf,Oklahoma City Thunder,16.8,6.5,4.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Coleman,Philadelphia 76ers,18.1,10.1,3.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Danny Ferry,Cleveland Cavaliers,10.6,4.1,1.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Danny Manning,Phoenix Suns,13.5,6.1,2.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Armstrong,Orlando Magic,6.1,1.1,2.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
